"PC1","PC2","sample_name","Groups"
-7.13809648452379,1.43308876241963,"S41_pos.mzML","Healthy"
12.7519712290556,-3.55287734627889,"S42_pos.mzML","Healthy"
-13.297346263681,10.5211514147708,"S43_pos.mzML","Healthy"
10.9804699778819,12.8972073000491,"S46_pos.mzML","Healthy"
-1.36991343389827,-6.33375842866947,"S01_pos.mzML","TR1"
-4.75820186907132,-9.02400860383575,"S02_pos.mzML","TR1"
-6.22121292067405,-3.86845179073561,"S03_pos.mzML","TR1"
2.35846143366376,-9.20319345714703,"S04_pos.mzML","TR1"
-11.4063629994119,3.44506590231207,"S05_pos.mzML","TR1"
12.4277539287078,10.0506071841579,"S06_pos.mzML","TR1"
-9.37254652654949,5.36784640283867,"S07_pos.mzML","TR1"
-9.85194286524131,-6.20549150546723,"S08_pos.mzML","TR1"
12.6761849789147,20.3400829966026,"S09_pos.mzML","TR1"
-12.5813320973766,-2.83827883680656,"S10_pos.mzML","TR1"
0.486451668871246,-4.66862461018584,"S11_pos.mzML","TR2"
-1.87637465147553,-4.35419962102215,"S12_pos.mzML","TR2"
-9.7168650569856,-0.215181586755131,"S13_pos.mzML","TR2"
-12.2378155741177,6.99504240928106,"S14_pos.mzML","TR2"
-4.94514883230137,-1.31876427190371,"S15_pos.mzML","TR2"
-10.8277802745462,-2.33842342807711,"S16_pos.mzML","TR2"
8.99730600028955,-10.2958511395894,"S17_pos.mzML","TR2"
14.4019922645137,19.3602868642347,"S18_pos.mzML","TR2"
20.192511226814,-14.0316769301863,"S19_pos.mzML","TR2"
20.3278371411417,-12.1615976800064,"S20_pos.mzML","TR2"
