"PC1","PC2","sample_clean","Gruops"
-1.93426708312295,3.49205737850479,"S41_neg.mzML","Healthy"
-5.93837960279935,9.4812783317197,"S42_neg.mzML","Healthy"
4.44206378974595,1.14649831433621,"S43_neg.mzML","Healthy"
2.30686788592097,1.01614452944076,"S46_neg.mzML","Healthy"
0.620740279360753,7.6310561984764,"S21_neg.mzML","PR1"
11.1166937853356,-1.60635955057948,"S22_neg.mzML","PR1"
-10.4284631067864,-1.51478905336996,"S23_neg.mzML","PR1"
-13.8452222595488,-2.13141288470668,"S24_neg.mzML","PR1"
8.08117305422574,-1.50158573706864,"S25_neg.mzML","PR1"
6.34139264572976,-1.23764704528866,"S26_neg.mzML","PR1"
-8.80088964393141,3.37481727229272,"S27_neg.mzML","PR1"
-0.39876178247382,-4.24802500258107,"S28_neg.mzML","PR1"
-5.68294315750233,3.08968801770633,"S29_neg.mzML","PR1"
-1.16635504489895,-3.6640252714921,"S30_neg.mzML","PR1"
7.42809594522694,-8.40395394893563,"S31_neg.mzML","PR2"
-7.36376839558957,-0.342498270256403,"S32_neg.mzML","PR2"
1.14046869553082,-1.53322884943221,"S34_neg.mzML","PR2"
17.7715519213649,-3.42119488612094,"S35_neg.mzML","PR2"
18.7575204807965,7.08540312210835,"S36_neg.mzML","PR2"
-3.49770355110072,-0.625214238691413,"S37_neg.mzML","PR2"
18.9969856707671,-1.08194978068458,"S38_neg.mzML","PR2"
11.7410163108416,18.7608400192802,"S39_neg.mzML","PR2"
-1.75315164403129,0.14850433576045,"S40_neg.mzML","PR2"
1.1852293720544,-6.34346214131462,"S01_neg.mzML","TR1"
-7.32119975011762,-6.29460867205449,"S02_neg.mzML","TR1"
-6.4896623566786,3.35637918294385,"S03_neg.mzML","TR1"
-3.40528936289898,-5.38575742840318,"S04_neg.mzML","TR1"
-2.73276510946652,-0.137590239682192,"S05_neg.mzML","TR1"
9.41916148968089,-5.96065980969186,"S06_neg.mzML","TR1"
-8.25270820029076,-1.57896906365966,"S07_neg.mzML","TR1"
-3.9793537150234,0.922733368669373,"S08_neg.mzML","TR1"
-1.90633694829012,7.50092229689767,"S09_neg.mzML","TR1"
-15.6775238385017,-1.82931779483282,"S10_neg.mzML","TR1"
-14.8567290817585,0.114400456165318,"S11_neg.mzML","TR2"
6.0898510910907,-3.67088261334956,"S12_neg.mzML","TR2"
-6.58109613808987,-2.26574796308482,"S13_neg.mzML","TR2"
-9.04922661296465,5.80134756037932,"S14_neg.mzML","TR2"
-7.52398100997849,2.80328637068601,"S15_neg.mzML","TR2"
-12.6753468617908,-0.468032449382614,"S16_neg.mzML","TR2"
4.38679670955304,-5.18997890566475,"S17_neg.mzML","TR2"
6.48884499597099,-3.28482278275285,"S18_neg.mzML","TR2"
15.7197925788084,1.3690787504392,"S19_neg.mzML","TR2"
9.22687755563053,-3.37272112272549,"S20_neg.mzML","TR2"
